"Suburb","Address","Price","Baths","Beds","DistanceTime.min.","Distance.km.","Status"
"Broken Hill","570 Argent St, Broken Hill","$160,000"," 2"," 3",747.5,1126.84,"ForSale"
"Coonamble","28 Broad Street, Coonamble","$150,000"," 1"," 3",371.333333333333,517.207,"ForSale"
"Broken Hill","412 Lane Street, Broken Hill","$149,500"," 1"," 2",747.5,1126.84,"ForSale"
"Kooringal","25 Ziegler Avenue, Kooringal","$179,000"," 1"," 3",275,455.478,"ForSale"
"South Grafton","76 Margaret Crescent, South Grafton","$ 150,000 - $ 170,000"," 1"," 3",380.516666666667,597.104,"ForSale"
"Winston Hills","38 Tennyson Street, Winston Hills","PRICE GUIDE | $1,000,000 - $1,100,000"," 3"," 4",12.25,8.674,"ForSale"
"Broken Hill","569 Chapple Lane, Broken Hill","$175,000"," 1"," 3",747.5,1126.84,"ForSale"
"Kelso","26 Simmons Place, Kelso","$145,000"," 1"," 3",147.9,180.4,"ForSale"
"Cumnock","1 Railway Parade, Cumnock","$149,000"," 1"," 3",234.65,297.163,"ForSale"
"Oberon","97 North Street, Oberon","$185,000"," 1"," 2",142.283333333333,162.662,"ForSale"
"Broken Hill","242 Mercury St, Broken Hill","$95,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","290 Wilson St, Broken Hill","$59,000"," 1"," 3",747.5,1126.84,"ForSale"
"Broken Hill","133 Harvey St, Broken Hill","$155,000"," 1"," 3",747.5,1126.84,"ForSale"
"Aberdeen","72 Bedford Street, Aberdeen","$135,000"," 1"," 3",178.466666666667,251.816,"ForSale"
"Lockhart","67 Hebden Street, Lockhart","$169,000"," 1"," 3",319.516666666667,519.498,"ForSale"
"Pooncarie","61-63 Tarcoola Street, Pooncarie","$160,000 to $170,000"," 1"," 3",703,1137.758,"ForSale"
"Broken Hill","465 Lane Lane, Broken Hill","$95,000"," 1"," 2",747.5,1126.84,"ForSale"
"Coonamble","14 Coonamble Terrace, Coonamble","$99,000"," 1"," 4",371.333333333333,517.207,"ForSale"
"Broken Hill","76 Galena Street, Broken Hill","$95,000"," 1"," 3",747.5,1126.84,"ForSale"
"Henty","56 Comer Street, Henty","Reduced to $185,000"," 1"," 3",311.45,523.978,"ForSale"
"Broken Hill","113 Boughtman St, Broken Hill","$160,000"," 2"," 4",747.5,1126.84,"ForSale"
